detail_id;order_id;customer_id;product_id;postal_code;sales;quantity;discount;profit
74;US-2015-134026;JE-15745;FUR-FU-100037081;38109;97.04;2;0.20;1.21
75;US-2015-134026;JE-15745;OFF-ST-100041231;38109;72.78;1;0.20;-18.20
76;US-2017-118038;KB-16600;OFF-BI-100041821;77041;1.25;3;0.80;-1.93
77;US-2017-118038;KB-16600;FUR-FU-100002601;77041;9.71;3;0.60;-5.82
78;US-2017-118038;KB-16600;OFF-ST-100006151;77041;27.24;3;0.20;2.72
79;US-2014-147606;JE-15745;FUR-FU-100031941;77070;19.30;5;0.60;-14.48
80;CA-2016-127208;SC-20770;OFF-AP-100021181;35601;208.16;1;0.00;56.20
81;CA-2016-127208;SC-20770;OFF-BI-100023091;35601;16.74;3;0.00;8.04
82;CA-2014-139451;DN-13690;OFF-AR-100020531;94122;14.90;5;0.00;4.17
83;CA-2014-139451;DN-13690;OFF-ST-100023701;94122;21.39;1;0.00;6.20
84;CA-2015-149734;JC-16105;OFF-EN-100009271;27707;200.98;7;0.20;62.81
85;US-2017-119662;CS-12400;OFF-ST-100036561;60623;230.38;3;0.20;-48.95
86;CA-2017-140088;PO-18865;FUR-CH-100008631;29203;301.96;2;0.00;33.22
87;CA-2017-155558;PG-18895;TEC-AC-100019981;55901;19.99;1;0.00;6.80
88;CA-2017-155558;PG-18895;OFF-LA-100001341;55901;6.16;2;0.00;2.96
89;CA-2016-159695;GM-14455;OFF-ST-100034421;77095;158.37;7;0.20;13.86
90;CA-2016-109806;JS-15685;OFF-AR-100049301;90036;20.10;3;0.00;6.63
91;CA-2016-109806;JS-15685;TEC-PH-100040931;90036;73.58;2;0.20;8.28
92;CA-2016-109806;JS-15685;OFF-PA-100003041;90036;6.48;1;0.00;3.11
93;CA-2015-149587;KB-16315;OFF-PA-100031771;55407;12.96;2;0.00;6.22
94;CA-2015-149587;KB-16315;FUR-FU-100037991;55407;53.34;3;0.00;16.54
95;CA-2015-149587;KB-16315;OFF-BI-100028521;55407;32.96;2;0.00;16.15
96;US-2017-109484;RB-19705;OFF-BI-100047381;97206;5.68;1;0.70;-3.79
97;CA-2017-161018;PN-18775;FUR-FU-100006291;10009;96.53;7;0.00;40.54
98;CA-2017-157833;KD-16345;OFF-BI-100017211;94122;51.31;3;0.20;17.96
99;CA-2016-149223;ER-13855;OFF-AP-100003581;55106;77.88;6;0.00;22.59
100;CA-2016-158568;RB-19465;OFF-PA-100032561;60610;64.62;7;0.20;22.62
101;CA-2016-158568;RB-19465;TEC-AC-100017671;60610;95.98;3;0.20;-10.80
102;CA-2016-158568;RB-19465;OFF-BI-100026091;60610;1.79;3;0.80;-3.04
103;CA-2016-129903;GZ-14470;OFF-PA-100040401;55901;23.92;4;0.00;11.72
104;US-2015-156867;LC-16870;TEC-AC-100015521;80013;238.90;6;0.20;-26.88
105;US-2015-156867;LC-16870;FUR-FU-100040061;80013;102.36;3;0.20;-3.84
106;US-2015-156867;LC-16870;OFF-BI-100027941;80013;36.88;3;0.70;-25.82
107;CA-2017-119004;JM-15250;TEC-AC-100034991;28205;74.11;8;0.20;17.60
108;CA-2017-119004;JM-15250;TEC-PH-100028441;28205;27.99;1;0.20;2.10
109;CA-2017-119004;JM-15250;OFF-AR-100003901;28205;3.30;1;0.20;1.07
110;CA-2015-129476;PA-19060;TEC-AC-100008441;60462;339.96;5;0.20;67.99
111;CA-2017-146780;CV-12805;FUR-FU-100019341;10035;41.96;2;0.00;10.91
112;CA-2016-128867;CL-12565;OFF-AR-100003801;50322;75.96;2;0.00;22.79
113;CA-2016-128867;CL-12565;OFF-BI-100039811;50322;27.24;6;0.00;13.35
114;CA-2014-115259;RC-19960;OFF-FA-100006211;43229;40.10;14;0.20;14.53
115;CA-2014-115259;RC-19960;OFF-EN-100026001;43229;4.72;2;0.20;1.65
116;CA-2014-115259;RC-19960;OFF-PA-100049651;43229;23.98;3;0.20;7.49
117;CA-2014-115259;RC-19960;OFF-EN-100025041;43229;130.46;6;0.20;44.03
118;CA-2015-110457;DK-13090;FUR-TA-100017681;98103;787.53;3;0.00;165.38
119;US-2015-136476;GG-14650;OFF-BI-100036501;37620;157.79;1;0.70;-115.72
120;CA-2016-103730;SC-20725;FUR-FU-100021571;19805;47.04;3;0.00;18.35
121;CA-2016-103730;SC-20725;OFF-BI-100039101;19805;30.84;4;0.00;13.88
122;CA-2016-103730;SC-20725;OFF-ST-100007771;19805;226.56;6;0.00;63.44
123;CA-2016-103730;SC-20725;OFF-EN-100025001;19805;115.02;9;0.00;51.76
124;CA-2016-103730;SC-20725;TEC-PH-100038751;19805;68.04;7;0.00;19.73
125;US-2014-152030;AD-10180;FUR-CH-100040631;77041;600.56;3;0.30;-8.58
126;US-2014-134614;PF-19165;FUR-TA-100045341;61701;617.70;6;0.50;-407.68
4369;CA-2017-117044;HA-14920;OFF-PA-100036571;60623;20.54;6;0.20;6.42
127;US-2017-107272;TS-21610;OFF-BI-100032741;85023;2.39;2;0.70;-1.83
128;US-2017-107272;TS-21610;OFF-ST-100029741;85023;243.99;7;0.20;30.50
129;US-2016-125969;LS-16975;FUR-CH-100011461;90004;81.42;2;0.20;-9.16
130;US-2016-125969;LS-16975;FUR-FU-100037731;90004;238.56;3;0.00;26.24
131;US-2017-164147;DW-13585;TEC-PH-100022931;43229;59.97;5;0.40;-11.99
132;US-2017-164147;DW-13585;OFF-PA-100023771;43229;78.30;2;0.20;29.36
133;US-2017-164147;DW-13585;OFF-FA-100027801;43229;21.46;9;0.20;6.97
134;CA-2016-145583;LC-16885;OFF-PA-100018041;95661;20.04;3;0.00;9.62
135;CA-2016-145583;LC-16885;OFF-PA-100017361;95661;35.44;1;0.00;16.66
136;CA-2016-145583;LC-16885;OFF-AR-100011491;95661;11.52;4;0.00;3.46
137;CA-2016-145583;LC-16885;OFF-FA-100029881;95661;4.02;2;0.00;1.97
138;CA-2016-145583;LC-16885;OFF-BI-100047811;95661;76.18;3;0.20;26.66
139;CA-2016-145583;LC-16885;OFF-SU-100012181;95661;65.88;6;0.00;18.45
140;CA-2016-145583;LC-16885;FUR-FU-100017061;95661;43.12;14;0.00;20.70
141;CA-2016-110366;JD-15895;FUR-FU-100048481;19140;82.80;2;0.20;10.35
142;CA-2017-106180;SH-19975;OFF-AR-100009401;94122;8.82;3;0.00;2.38
143;CA-2017-106180;SH-19975;OFF-EN-100040301;94122;10.86;3;0.00;5.10
144;CA-2017-106180;SH-19975;OFF-PA-100043271;94122;143.70;3;0.00;68.98
145;CA-2017-155376;SG-20080;OFF-AP-100010581;64055;839.43;3;0.00;218.25
146;CA-2015-110744;HA-14920;OFF-ST-100036561;91104;671.93;7;0.00;20.16
147;CA-2014-110072;MG-17680;FUR-FU-100005211;43055;93.89;4;0.20;12.91
148;CA-2016-114489;JE-16165;TEC-PH-100002151;53132;384.45;11;0.00;103.80
149;CA-2016-114489;JE-16165;TEC-PH-100014481;53132;149.97;3;0.00;6.00
150;CA-2016-114489;JE-16165;FUR-CH-100004541;53132;1951.84;8;0.00;585.55
151;CA-2016-114489;JE-16165;OFF-BI-100027351;53132;171.55;5;0.00;80.63
152;CA-2016-158834;TW-21025;OFF-AP-100003261;85254;157.92;5;0.20;17.77
153;CA-2016-158834;TW-21025;TEC-PH-100012541;85254;203.18;2;0.20;15.24
154;CA-2015-124919;SP-20650;OFF-PA-100019501;95123;58.38;7;0.00;26.27
155;CA-2015-124919;SP-20650;OFF-PA-100022541;95123;105.52;4;0.00;48.54
156;CA-2015-124919;SP-20650;OFF-ST-100015901;95123;80.88;6;0.00;21.03
157;CA-2015-118948;NK-18490;OFF-AR-100015471;98105;6.63;3;0.00;1.79
158;CA-2014-104269;DB-13060;FUR-CH-100040631;98115;457.57;2;0.20;51.48
159;CA-2016-114104;NP-18670;OFF-LA-100024751;73034;14.62;2;0.00;6.87
160;CA-2016-114104;NP-18670;TEC-PH-100045361;73034;944.93;7;0.00;236.23
161;CA-2016-162733;TT-21070;OFF-PA-100027511;90045;5.98;1;0.00;2.69
162;CA-2015-119697;EM-13960;TEC-AC-100036571;19134;54.38;2;0.20;1.36
163;CA-2016-154508;RD-19900;OFF-EN-100019901;88220;28.40;5;0.00;13.35
164;CA-2016-113817;MJ-17740;OFF-BI-100040021;98115;27.68;2;0.20;9.69
165;CA-2014-139892;BM-11140;OFF-AR-100044411;78207;9.94;3;0.20;2.73
166;CA-2014-139892;BM-11140;TEC-MA-100008221;78207;8159.95;8;0.40;-1359.99
167;CA-2014-139892;BM-11140;OFF-ST-100009911;78207;275.93;3;0.20;-58.63
168;CA-2014-139892;BM-11140;FUR-CH-100042871;78207;1740.06;9;0.30;-24.86
169;CA-2014-139892;BM-11140;OFF-AR-100026561;78207;32.06;6;0.20;6.81
170;CA-2014-139892;BM-11140;OFF-AP-100025181;78207;177.98;5;0.80;-453.85
171;CA-2014-139892;BM-11140;TEC-PH-100039311;78207;143.98;3;0.20;9.00
172;CA-2014-118962;CS-12130;OFF-PA-100006591;90004;20.94;3;0.00;9.84
173;CA-2014-118962;CS-12130;OFF-PA-100011441;90004;110.96;2;0.00;53.26
174;CA-2014-118962;CS-12130;FUR-CH-100038171;90004;340.14;7;0.20;21.26
175;US-2014-100853;JB-15400;OFF-AP-100008911;60623;52.45;2;0.80;-131.12
176;US-2014-100853;JB-15400;OFF-LA-100031481;60623;20.16;4;0.20;6.55
177;US-2017-152366;SJ-20500;OFF-AP-100026841;77036;97.26;4;0.80;-243.16
178;US-2015-101511;JE-15745;FUR-CH-100046981;43055;396.80;7;0.30;-11.34
179;US-2015-101511;JE-15745;OFF-SU-100021891;43055;15.88;5;0.20;-3.77
180;CA-2015-137225;JK-15640;OFF-AR-100019401;10009;3.28;1;0.00;1.41
181;CA-2014-166191;DK-13150;OFF-ST-100034551;62521;24.82;2;0.20;1.86
182;CA-2014-166191;DK-13150;TEC-AC-100046591;62521;408.74;7;0.20;76.64
183;CA-2014-158274;RM-19675;TEC-PH-100032731;71203;503.96;4;0.00;131.03
184;CA-2014-158274;RM-19675;TEC-PH-100048961;71203;149.95;5;0.00;41.99
185;CA-2014-158274;RM-19675;TEC-AC-100023451;71203;29.00;2;0.00;7.25
186;CA-2016-105018;SK-19990;OFF-BI-100018901;6824;7.16;2;0.00;3.44
187;CA-2014-123260;FM-14290;TEC-AC-100023231;90032;176.80;8;0.00;22.98
188;CA-2016-157000;AM-10360;OFF-ST-100013281;75051;37.22;3;0.20;3.72
189;CA-2016-157000;AM-10360;OFF-PA-100019501;75051;20.02;3;0.20;6.26
190;CA-2015-102281;MP-17470;FUR-BO-100026131;10035;899.14;4;0.20;112.39
191;CA-2015-102281;MP-17470;TEC-PH-100015521;10035;71.76;6;0.00;20.09
192;CA-2015-102281;MP-17470;OFF-PA-100000611;10035;51.84;8;0.00;24.88
193;CA-2015-102281;MP-17470;FUR-BO-100025451;10035;626.35;3;0.20;46.98
194;CA-2015-102281;MP-17470;OFF-AR-100035141;10035;19.90;5;0.00;6.57
195;CA-2015-131457;MZ-17515;OFF-EN-100015091;92374;14.28;7;0.00;6.71
196;CA-2014-140004;CB-12025;OFF-AR-100046851;45011;7.41;2;0.20;1.20
197;CA-2014-140004;CB-12025;OFF-AR-100040271;45011;6.05;3;0.20;1.59
198;CA-2017-107720;VM-21685;OFF-ST-100014141;7090;46.26;3;0.00;12.03
199;US-2017-124303;FH-14365;OFF-BI-100003431;19120;2.95;2;0.70;-2.26
200;US-2017-124303;FH-14365;OFF-PA-100027491;19120;16.06;3;0.20;5.82
201;CA-2017-105074;MB-17305;OFF-PA-100026661;44312;21.74;3;0.20;6.80
202;CA-2014-133690;BS-11755;FUR-TA-100042891;80219;218.75;2;0.50;-161.88
203;CA-2014-133690;BS-11755;OFF-AP-100036221;80219;2.60;1;0.20;0.29
204;US-2017-116701;LC-17140;OFF-AP-100032171;75220;66.28;2;0.80;-178.97
205;CA-2017-126382;HK-14890;FUR-FU-100029601;37064;35.17;7;0.20;9.67
206;CA-2017-108329;LE-16810;TEC-PH-100019181;90604;444.77;4;0.20;44.48
207;CA-2017-135860;JH-15985;OFF-ST-100006421;48601;83.92;4;0.00;5.87
208;CA-2017-135860;JH-15985;TEC-PH-100017001;48601;131.98;2;0.00;35.63
209;CA-2017-135860;JH-15985;OFF-BI-100032741;48601;15.92;4;0.00;7.48
210;CA-2017-135860;JH-15985;OFF-FA-100001341;48601;52.29;9;0.00;16.21
211;CA-2017-135860;JH-15985;OFF-ST-100015221;48601;91.99;1;0.00;3.68
212;CA-2015-101007;MS-17980;TEC-AC-100012661;75220;20.80;2;0.20;6.50
213;CA-2015-146262;VW-21775;OFF-LA-100045441;44256;23.68;2;0.20;8.88
214;CA-2015-146262;VW-21775;FUR-BO-100046951;44256;452.45;5;0.50;-244.32
215;CA-2015-146262;VW-21775;TEC-PH-100028441;44256;62.98;3;0.40;-14.70
216;CA-2015-146262;VW-21775;TEC-MA-100008641;44256;1188.00;9;0.70;-950.40
217;CA-2015-146262;VW-21775;TEC-AC-100001091;44256;89.58;2;0.20;4.48
218;CA-2016-130162;JH-15910;OFF-ST-100013281;90032;93.06;6;0.00;26.06
219;CA-2016-130162;JH-15910;TEC-PH-100025631;90032;302.38;3;0.20;22.68
220;CA-2015-169397;JB-15925;OFF-FA-100005851;43017;5.58;2;0.20;1.81
221;CA-2015-169397;JB-15925;OFF-PA-100040001;43017;22.70;6;0.20;8.23
222;CA-2015-169397;JB-15925;OFF-BI-100028521;43017;19.78;4;0.70;-13.84
223;CA-2015-169397;JB-15925;FUR-FU-100000871;43017;72.70;4;0.20;19.08
224;CA-2015-169397;JB-15925;TEC-MA-100011481;43017;479.99;4;0.70;-383.99
225;CA-2015-169397;JB-15925;OFF-AR-100019581;43017;27.17;2;0.20;2.72
226;CA-2015-163055;DS-13180;OFF-AR-100010261;48227;2.20;1;0.00;0.97
227;CA-2015-163055;DS-13180;FUR-TA-100037481;48227;622.45;5;0.00;136.94
228;CA-2015-163055;DS-13180;OFF-ST-100024851;48227;21.98;1;0.00;0.22
229;US-2015-145436;VD-21670;FUR-CH-100048601;38401;161.57;2;0.20;-28.27
230;US-2015-145436;VD-21670;FUR-CH-100044771;38401;389.70;8;0.20;43.84
231;US-2014-156216;EA-14035;OFF-BI-100016791;28205;18.65;7;0.70;-12.43
232;US-2017-100930;CS-12400;FUR-TA-100017051;33614;233.86;2;0.45;-102.05
389;CA-2014-115973;NG-18430;OFF-AR-100047571;45231;2.62;1;0.20;0.43
233;US-2017-100930;CS-12400;FUR-TA-100034731;33614;620.61;3;0.45;-248.25
234;US-2017-100930;CS-12400;OFF-BI-100016791;33614;5.33;2;0.70;-3.55
235;US-2017-100930;CS-12400;FUR-FU-100040171;33614;258.07;3;0.20;0.00
236;US-2017-100930;CS-12400;TEC-AC-100038321;33614;617.98;3;0.20;-7.72
237;CA-2017-160514;DB-13120;OFF-PA-100024791;95051;10.56;2;0.00;4.75
238;CA-2016-157749;KL-16645;OFF-PA-100033491;60610;25.92;5;0.20;9.40
239;CA-2016-157749;KL-16645;FUR-FU-100005761;60610;419.68;5;0.60;-356.73
240;CA-2016-157749;KL-16645;FUR-FU-100043511;60610;11.69;3;0.60;-4.68
241;CA-2016-157749;KL-16645;TEC-PH-100000111;60610;31.98;2;0.20;11.19
242;CA-2016-157749;KL-16645;FUR-TA-100026071;60610;177.23;5;0.50;-120.51
243;CA-2016-157749;KL-16645;FUR-FU-100025051;60610;4.04;3;0.60;-2.83
244;CA-2016-157749;KL-16645;OFF-AR-100046851;60610;7.41;2;0.20;1.20
245;CA-2014-131926;DW-13480;FUR-CH-100040631;55044;2001.86;7;0.00;580.54
246;CA-2014-131926;DW-13480;OFF-ST-100022761;55044;166.72;2;0.00;41.68
247;CA-2014-131926;DW-13480;OFF-PA-100040821;55044;47.88;6;0.00;23.94
248;CA-2014-131926;DW-13480;OFF-AP-100029451;55044;1503.25;5;0.00;496.07
249;CA-2014-131926;DW-13480;OFF-PA-100000611;55044;25.92;4;0.00;12.44
250;CA-2016-154739;LH-17155;FUR-CH-100029651;94109;321.57;2;0.20;28.14
251;CA-2016-145625;KC-16540;OFF-PA-100045691;92037;7.61;1;0.00;3.58
252;CA-2016-145625;KC-16540;TEC-AC-100038321;92037;3347.37;13;0.00;636.00
253;CA-2016-146941;DL-13315;OFF-ST-100012281;10024;80.58;6;0.00;22.56
254;CA-2016-146941;DL-13315;OFF-EN-100032961;10024;361.92;4;0.00;162.86
255;US-2015-159982;DR-12880;FUR-FU-100025051;60623;12.13;9;0.60;-8.49
256;US-2015-159982;DR-12880;OFF-ST-100048041;60623;82.37;2;0.20;-19.56
257;US-2015-159982;DR-12880;OFF-ST-100015901;60623;53.92;5;0.20;4.04
258;US-2015-159982;DR-12880;TEC-PH-100015801;60623;647.90;6;0.20;56.69
259;CA-2017-163139;CC-12670;TEC-AC-100002901;10009;20.37;3;0.00;6.93
260;CA-2017-163139;CC-12670;OFF-ST-100027901;10009;221.55;3;0.00;6.65
261;CA-2017-163139;CC-12670;OFF-BI-100034601;10009;17.52;5;0.20;6.13
262;US-2017-155299;Dl-13600;OFF-AP-100022031;77506;1.62;2;0.80;-4.47
263;US-2014-106992;SB-20290;TEC-MA-100008221;77036;3059.98;3;0.40;-510.00
264;US-2014-106992;SB-20290;TEC-MA-100033531;77036;2519.96;7;0.40;-252.00
265;CA-2016-125318;RC-19825;TEC-PH-100014331;60610;328.22;4;0.20;28.72
266;CA-2015-155040;AH-10210;TEC-AC-100044691;94513;79.90;2;0.00;35.16
267;CA-2017-136826;CB-12535;OFF-AR-100036021;27514;14.02;3;0.20;4.73
268;CA-2016-111010;PG-18895;OFF-FA-100034721;7960;7.56;6;0.00;0.30
269;US-2017-145366;CA-12310;OFF-ST-100041801;45231;37.21;1;0.20;-7.44
270;US-2017-145366;CA-12310;OFF-EN-100043861;45231;57.58;3;0.20;21.59
271;CA-2017-163979;KH-16690;OFF-ST-100032081;94110;725.84;4;0.00;210.49
272;CA-2015-155334;HA-14920;TEC-AC-100036281;94109;209.93;7;0.00;92.37
273;CA-2015-155334;HA-14920;FUR-FU-100032741;94109;5.28;3;0.00;2.32
274;CA-2015-155334;HA-14920;OFF-BI-100025571;94109;10.92;3;0.20;4.10
275;CA-2017-118136;BB-10990;OFF-PA-100026151;90301;8.82;2;0.00;4.06
276;CA-2017-118136;BB-10990;OFF-AR-100014271;90301;5.98;1;0.00;1.55
277;CA-2017-132976;AG-10495;OFF-PA-100006731;19140;11.65;2;0.20;4.08
278;CA-2017-132976;AG-10495;OFF-PA-100044701;19140;18.18;4;0.20;5.91
279;CA-2017-132976;AG-10495;OFF-ST-100008761;19140;59.71;6;0.20;5.97
280;CA-2017-132976;AG-10495;OFF-LA-100020431;19140;24.84;3;0.20;8.69
281;US-2015-161991;SC-20725;OFF-BI-100049671;77070;2.08;5;0.80;-3.43
282;US-2015-161991;SC-20725;TEC-PH-100017601;77070;1114.40;7;0.20;376.11
283;CA-2015-130890;JO-15280;FUR-TA-100029031;90004;1038.84;5;0.20;51.94
284;CA-2015-130883;TB-21520;OFF-PA-100004741;97206;141.76;5;0.20;47.84
285;CA-2015-130883;TB-21520;TEC-AC-100019561;97206;239.80;5;0.20;47.96
286;CA-2015-130883;TB-21520;OFF-PA-100041001;97206;31.10;6;0.20;10.89
287;CA-2016-112697;AH-10195;OFF-BI-100007781;33319;254.06;7;0.70;-169.37
288;CA-2016-112697;AH-10195;OFF-AP-100026841;33319;194.53;2;0.20;24.32
289;CA-2016-112697;AH-10195;OFF-SU-100006461;33319;961.48;5;0.20;-204.31
290;CA-2016-110772;NZ-18565;OFF-FA-100029831;43229;19.10;7;0.20;6.68
291;CA-2016-110772;NZ-18565;OFF-LA-100046891;43229;18.50;8;0.20;6.24
292;CA-2016-110772;NZ-18565;TEC-AC-100020011;43229;255.98;2;0.20;54.40
293;CA-2016-110772;NZ-18565;FUR-BO-100047091;43229;86.97;3;0.50;-48.70
294;CA-2014-111451;KL-16555;FUR-FU-100040911;80906;300.42;8;0.20;78.86
295;CA-2014-111451;KL-16555;FUR-CH-100018911;80906;230.35;3;0.20;20.16
296;CA-2014-111451;KL-16555;FUR-FU-100029181;80906;218.35;3;0.20;-24.56
